"ICD10"	"meaning"	"node_id"	"parent_id"	"selectable"	"phecode"	"description"	"group"	"groupnum"	"added"	"sex"	"rollup"	"leaf"
"A00"	"A00 Cholera"	286	23	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A00.0"	"A00.0 Cholera due to Vibrio cholerae 01, biovar cholerae"	287	286	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A00.1"	"A00.1 Cholera due to Vibrio cholerae 01, biovar el tor"	288	286	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A00.9"	"A00.9 Cholera, unspecified"	289	286	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A01"	"A01 Typhoid and paratyphoid fevers"	290	23	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A01.0"	"A01.0 Typhoid fever"	291	290	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A01.1"	"A01.1 Paratyphoid fever A"	292	290	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A01.2"	"A01.2 Paratyphoid fever B"	293	290	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A01.3"	"A01.3 Paratyphoid fever C"	294	290	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A01.4"	"A01.4 Paratyphoid fever, unspecified"	295	290	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A02"	"A02 Other Salmonella infections"	296	23	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A02.0"	"A02.0 Salmonella gastro-enteritis"	297	296	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A02.1"	"A02.1 Salmonella septicaemia"	298	296	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A02.2"	"A02.2 Localised Salmonella infections"	299	296	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A02.8"	"A02.8 Other specified Salmonella infections"	300	296	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A02.9"	"A02.9 Salmonella infection, unspecified"	301	296	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A03"	"A03 Shigellosis"	302	23	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A03.0"	"A03.0 Shigellosis due to Shigella dysenteriae"	303	302	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A03.1"	"A03.1 Shigellosis due to Shigella flexneri"	304	302	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A03.2"	"A03.2 Shigellosis due to Shigella boydii"	305	302	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A03.3"	"A03.3 Shigellosis due to Shigella sonnei"	306	302	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A03.8"	"A03.8 Other shigellosis"	307	302	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A03.9"	"A03.9 Shigellosis, unspecified"	308	302	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.0"	"A04.0 Enteropathogenic Escherichia coli infection"	310	309	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.1"	"A04.1 Enterotoxigenic Escherichia coli infection"	311	309	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.2"	"A04.2 Enteroinvasive Escherichia coli infection"	312	309	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.3"	"A04.3 Enterohaemorrhagic Escherichia coli infection"	313	309	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.4"	"A04.4 Other intestinal Escherichia coli infections"	314	309	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.5"	"A04.5 Campylobacter enteritis"	315	309	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.6"	"A04.6 Enteritis due to Yersinia enterocolitica"	316	309	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.7"	"A04.7 Enterocolitis due to Clostridium difficile"	317	309	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.8"	"A04.8 Other specified bacterial intestinal infections"	318	309	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.9"	"A04.9 Bacterial intestinal infection, unspecified"	319	309	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A05.0"	"A05.0 Foodborne staphylococcal intoxication"	321	320	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A05.1"	"A05.1 Botulism"	322	320	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A05.2"	"A05.2 Foodborne Clostridium perfringens [Clostridium welchii] intoxication"	323	320	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A05.3"	"A05.3 Foodborne Vibrio parahaemolyticus intoxication"	324	320	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A05.4"	"A05.4 Foodborne Bacillus cereus intoxication"	325	320	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A05.8"	"A05.8 Other specified bacterial foodborne intoxications"	326	320	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A05.9"	"A05.9 Bacterial foodborne intoxication, unspecified"	327	320	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A06"	"A06 Amoebiasis"	328	23	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A06.0"	"A06.0 Acute amoebic dysentery"	329	328	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A06.1"	"A06.1 Chronic intestinal amoebiasis"	330	328	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A06.2"	"A06.2 Amoebic nondysenteric colitis"	331	328	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A06.3"	"A06.3 Amoeboma of intestine"	332	328	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A06.4"	"A06.4 Amoebic liver abscess"	333	328	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A06.5"	"A06.5 Amoebic lung abscess"	334	328	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A06.6"	"A06.6 Amoebic brain abscess"	335	328	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A06.7"	"A06.7 Cutaneous amoebiasis"	336	328	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A06.8"	"A06.8 Amoebic infection of other sites"	337	328	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A06.9"	"A06.9 Amoebiasis, unspecified"	338	328	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A07"	"A07 Other protozoal intestinal diseases"	339	23	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
